,mean,spearman_r,mean_abs_error,confidence_interval
_utt_scaled,0.1491576837355711,0.2114846292446006,0.1185276755507361,"(0.106, 0.131)"
_obs_scaled,0.097914815538156,0.2790373988128858,0.08023244451389924,"(0.069, 0.092)"
_mean_scaled,0.13536206886395183,0.3045721332598917,0.10758018894499073,"(0.096, 0.119)"
human,0.03456467810474017,,,
