,mean,spearman_r,mean_abs_error,confidence_interval
_utt_scaled,0.11112315259417596,0.16773663981581943,0.06009541014535187,"(0.053, 0.067)"
_obs_scaled,0.10279744487738884,0.3199080303671093,0.053972702674278075,"(0.048, 0.060)"
_mean_scaled,0.09913237126288987,0.35133748839245543,0.05164220818282635,"(0.046, 0.057)"
human,0.06355273398377305,,,
