,mean,spearman_r,mean_abs_error,confidence_interval
_utt_scaled,0.24047777585266855,0.4599545953863054,0.10661222558114179,"(0.094, 0.120)"
_obs_scaled,0.2863025523703674,0.5460702364411036,0.08256774927390238,"(0.073, 0.092)"
_mean_scaled,0.27015854628948605,0.5639156881504575,0.08817871085184537,"(0.077, 0.099)"
human,0.30584774027445477,,,
