,mean,spearman_r,mean_abs_error,confidence_interval
_utt_scaled,0.08173796203728367,0.2821621747377113,0.0649347829341428,"(0.056, 0.074)"
_obs_scaled,0.03270660491103394,0.41020939956059294,0.025340705373914814,"(0.020, 0.031)"
_mean_scaled,0.06854277820001906,0.3671876398907716,0.05238723879895224,"(0.046, 0.059)"
human,0.022435882808941793,,,
