,mean,spearman_r,mean_abs_error,confidence_interval
_utt_scaled,0.23098484985199738,0.22065465351962435,0.15213883393586192,"(0.136, 0.168)"
_obs_scaled,0.16836085651266008,0.46852197603261075,0.10386317517324874,"(0.090, 0.117)"
_mean_scaled,0.21272756141464116,0.4296929234762015,0.1320107703589161,"(0.116, 0.148)"
human,0.08969479405616586,,,
