,mean,spearman_r,mean_abs_error,confidence_interval
_utt_scaled,0.7488617613011564,0.34688888694194425,0.1037449555114009,"(0.088, 0.119)"
_obs_scaled,0.7456144472442712,0.24239139828433928,0.11983316836335181,"(0.101, 0.138)"
_mean_scaled,0.7157819373435618,0.34908099194341546,0.12710158247291162,"(0.108, 0.146)"
human,0.8093023681241739,,,
