,mean,spearman_r,mean_abs_error,confidence_interval
_utt_scaled,0.14067235462365596,0.18250781151429685,0.11027492766267201,"(0.095, 0.126)"
_obs_scaled,0.09371609334204505,0.5648356014666112,0.06103797505068656,"(0.052, 0.070)"
_mean_scaled,0.11655086422631823,0.38019649021325236,0.0816205781013578,"(0.072, 0.091)"
human,0.05108424980175184,,,
