,mean,spearman_r,mean_abs_error,confidence_interval
_utt_scaled,0.1459181061791584,0.07569680873414594,0.09110428049676023,"(0.080, 0.102)"
_obs_scaled,0.11933547048438625,0.4564355729321043,0.06310363344200662,"(0.055, 0.071)"
_mean_scaled,0.1364364919695039,0.36673746654043304,0.07568477312527944,"(0.066, 0.085)"
human,0.08687004217004633,,,
