,best_model,computer_mean,spearman_r,mean_abs_error,confidence_interval,human_mean
IsQuestion,Combined,0.27015854628948605,0.5639156881504575,0.08817871085184538,"(0.077, 0.099)",0.3058477402744548
IsDisciplinaryTermsPresent,Global Session,0.16836085651266008,0.4685219760326108,0.10386317517324874,"(0.090, 0.117)",0.08969479405616586
IsInstructionalUtterance,Combined,0.7157819373435618,0.34908099194341546,0.12710158247291162,"(0.108, 0.146)",0.8093023681241739
IsEvaluationElaborated,Combined,0.09913237126288987,0.35133748839245543,0.05164220818282635,"(0.046, 0.057)",0.06355273398377305
Authenticity,Global Session,0.09371609334204503,0.5648356014666112,0.06103797505068656,"(0.052, 0.070)",0.05108424980175184
CogLevel,Combined,0.13536206886395186,0.3045721332598917,0.10758018894499073,"(0.096, 0.119)",0.03456467810474017
Uptake,Global Session,0.032706604911033936,0.41020939956059294,0.025340705373914814,"(0.020, 0.031)",0.022435882808941796
IsGoalSpecified,Global Session,0.11933547048438625,0.4564355729321043,0.06310363344200663,"(0.055, 0.071)",0.08687004217004632
